,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year
0,CHIEVO,JUVENTUS,0-1,0-1,4.1,5.8,6.9,27,73,4,2,7,1,4,20,66,7,15,13,2,0,0,12,3,21,6,11,30,85,10,22,14,1,0,0,0,1,1,0,2014
1,ROMA,FIORENTINA,2-0,1-0,5.3,7.1,5.5,57,43,7,5,20,8,2,16,89,7,12,15,4,0,0,5,4,10,1,0,22,83,13,25,17,4,0,0,2,0,0,2,2014
2,MILAN,LAZIO,03-Jan,1-0,6.2,6.4,5.5,44,56,3,4,7,0,0,22,78,20,34,10,2,0,0,12,4,20,4,10,17,86,15,20,20,3,0,0,3,1,1,3,2014
3,ATALANTA,HELLAS,0-0,0-0,2.2,6,6.6,55,45,5,1,11,5,6,16,84,15,23,17,2,0,0,4,3,9,2,2,18,82,16,34,16,3,0,0,0,0,0,0,2014
4,SASSUOLO,CAGLIARI,01-Jan,01-Jan,4.4,6.5,6.3,41,59,4,5,13,4,4,17,73,15,49,22,3,0,0,2,4,10,4,4,30,78,22,27,26,2,0,0,1,1,1,1,2014
5,UDINESE,EMPOLI,2-0,0-0,4.4,6.5,5.6,47,53,7,5,15,3,3,14,81,20,37,10,2,0,0,7,2,14,5,9,22,84,19,22,9,2,0,0,2,0,0,2,2014
6,TORINO,INTER,0-0,0-0,3.1,6,6.4,39,61,6,2,11,3,6,11,80,14,19,9,1,0,0,9,2,14,3,10,18,87,14,11,10,1,0,1,0,0,0,0,2014
7,PALERMO,SAMPDORIA,01-Jan,1-0,4.5,6.6,6.1,47,53,6,1,8,1,1,24,75,18,39,15,2,0,0,4,3,10,3,7,26,81,18,36,18,3,1,0,1,1,1,1,2014
8,GENOA,NAPOLI,01-Feb,01-Jan,6.2,5.8,7,46,54,5,5,11,1,7,24,78,16,25,10,3,0,0,8,5,15,2,5,22,82,7,28,10,1,0,0,1,2,2,1,2014
9,CESENA,PARMA,1-0,1-0,3.5,7.9,4.4,41,59,3,5,9,1,4,16,78,9,35,10,2,0,0,3,1,12,8,7,27,87,18,16,19,2,0,0,1,0,0,1,2014
10,EMPOLI,ROMA,0-1,0-1,3.8,6.3,6.5,43,57,7,4,16,5,8,22,79,18,28,6,0,0,0,2,3,8,3,0,30,83,11,23,11,1,0,0,0,1,1,0,2014
11,JUVENTUS,UDINESE,2-0,1-0,4.4,7.7,5.1,56,44,6,7,18,5,4,20,90,12,22,13,0,0,0,3,1,9,5,6,18,82,5,22,14,1,0,0,2,0,0,2,2014
12,SAMPDORIA,TORINO,2-0,1-0,3.9,7,5.3,44,56,3,4,8,1,3,19,81,14,26,18,3,0,0,7,0,8,1,5,17,84,11,14,17,4,0,0,2,0,0,2,2014
13,LAZIO,CESENA,3-0,1-0,4.8,7.4,5.4,58,42,6,6,17,5,7,20,88,8,18,26,3,0,0,4,1,7,2,1,10,77,13,20,10,1,0,0,3,0,0,3,2014
14,NAPOLI,CHIEVO,0-1,0-0,4.9,6,6.3,71,29,14,9,33,10,15,22,86,12,11,14,2,0,0,4,1,7,2,2,8,62,9,34,12,2,0,0,0,1,1,0,2014
15,CAGLIARI,ATALANTA,01-Feb,0-1,6.7,6.1,5.7,66,34,7,9,19,3,7,31,85,13,14,14,4,0,0,2,3,7,2,7,25,66,15,34,21,4,0,0,1,2,2,1,2014
16,INTER,SASSUOLO,7-0,4-0,7,10,3.6,62,38,6,11,22,5,6,17,85,12,11,16,0,0,0,9,2,13,2,1,20,78,16,21,12,1,0,1,7,0,0,7,2014
17,FIORENTINA,GENOA,0-0,0-0,3.2,7.3,5.9,65,35,10,6,22,6,12,16,85,11,10,13,1,0,0,4,1,6,1,3,22,69,18,36,18,4,1,0,0,0,0,0,2014
18,PARMA,MILAN,04-May,01-Mar,10,4.2,7.7,50,50,2,3,11,6,5,21,82,3,8,24,4,1,0,3,8,12,1,4,13,84,8,22,12,2,1,0,4,5,5,4,2014
19,HELLAS,PALERMO,02-Jan,01-Jan,6,6.4,5.7,50,50,4,5,14,5,10,25,82,16,23,9,4,0,0,11,4,18,3,5,17,83,18,29,12,2,0,0,2,1,1,2,2014
20,CESENA,EMPOLI,02-Feb,2-0,7.1,6.2,6.2,37,63,3,5,8,0,3,25,73,17,27,20,4,0,0,6,5,17,6,7,33,82,14,29,9,1,0,0,2,2,2,2,2014
21,MILAN,JUVENTUS,0-1,0-0,3.7,6.2,6.7,41,59,4,3,10,3,3,14,79,9,20,9,2,0,0,6,4,14,4,4,24,85,14,23,18,3,0,0,0,1,1,0,2014
22,CHIEVO,PARMA,02-Mar,1-0,7.4,6,6.4,43,57,3,4,10,3,4,27,75,6,25,17,1,0,0,4,4,12,4,5,28,81,11,12,21,4,0,0,2,3,3,2,2014
23,ROMA,CAGLIARI,2-0,2-0,4,6.9,6,58,42,3,3,7,1,0,18,89,3,13,16,1,0,0,5,2,9,2,6,22,84,8,14,13,1,0,0,2,0,0,2,2014
24,GENOA,LAZIO,1-0,0-0,4.8,6.6,6.2,42,58,4,4,9,1,3,23,73,15,35,11,2,0,0,7,7,18,4,7,29,79,12,20,19,2,1,0,1,0,0,1,2014
25,SASSUOLO,SAMPDORIA,0-0,0-0,2.9,6.3,6,48,52,7,5,14,2,3,9,81,10,26,19,3,0,0,6,3,12,3,7,19,82,12,22,23,2,0,0,0,0,0,0,2014
26,UDINESE,NAPOLI,1-0,0-0,3.4,6.3,6.3,44,56,4,3,9,2,0,29,73,20,37,12,1,0,0,3,3,9,3,9,22,82,26,25,12,3,0,0,1,0,0,1,2014
27,ATALANTA,FIORENTINA,0-1,0-0,5,5.8,6.6,44,56,13,6,24,5,4,28,81,12,22,10,1,0,0,5,6,16,5,7,21,84,9,26,22,4,0,0,0,1,1,0,2014
28,PALERMO,INTER,01-Jan,01-Jan,4.6,6.5,6.1,39,61,7,2,13,4,5,27,72,15,25,16,2,0,0,8,3,13,2,2,30,82,13,31,9,4,0,0,1,1,1,1,2014
29,TORINO,HELLAS,0-1,0-0,4.3,5.4,6.6,48,52,12,4,22,6,11,21,83,13,14,15,3,0,0,6,2,11,3,1,13,82,12,37,8,2,0,0,0,1,1,0,2014
30,EMPOLI,MILAN,02-Feb,02-Jan,8,6.6,6,45,55,5,6,13,2,3,16,76,12,33,13,2,1,0,7,6,15,2,5,20,81,12,23,21,3,0,0,2,2,2,2,2014
